"Time","x", "Temperature"
0,0,0
0,1,0
0,2,25
0,3,25
0,4,0
0,5,0
0.0001,0,0
0.0001,1,100
0.0001,2,24.7914
0.0001,3,25
0.0001,4,25
0.0001,5,0
0.0002,0,0
0.0002,1,100
0.0002,2,25.4207
0.0002,3,24.9982
0.0002,4,25
0.0002,5,0
0.0003,0,0
0.0003,1,100
0.0003,2,26.0394
0.0003,3,25.0017
0.0003,4,25
0.0003,5,0
0.0004,0,0
0.0004,1,100
0.0004,2,26.6478
0.0004,3,25.0104
0.0004,4,25
0.0004,5,0
0.0005,0,0
0.0005,1,100
0.0005,2,27.2462
0.0005,3,25.0241
0.0005,4,25
0.0005,5,0
0.0006,0,0
0.0006,1,100
0.0006,2,27.8347
0.0006,3,25.0426
0.0006,4,25
0.0006,5,0
0.0007,0,0
0.0007,1,100
0.0007,2,28.4135
0.0007,3,25.0659
0.0007,4,25
0.0007,5,0
0.0008,0,0
0.0008,1,100
0.0008,2,28.9828
0.0008,3,25.0938
0.0008,4,25
0.0008,5,0
0.0009,0,0
0.0009,1,100
0.0009,2,29.5429
0.0009,3,25.1263
0.0009,4,25
0.0009,5,0
0.001,0,0
0.001,1,100
0.001,2,30.0939
0.001,3,25.1631
0.001,4,25
0.001,5,0
0.0011,0,0
0.0011,1,100
0.0011,2,30.636
0.0011,3,25.2043
0.0011,4,25
0.0011,5,0
0.0012,0,0
0.0012,1,100
0.0012,2,31.1695
0.0012,3,25.2496
0.0012,4,25
0.0012,5,0
0.0013,0,0
0.0013,1,100
0.0013,2,31.6944
0.0013,3,25.299
0.0013,4,25
0.0013,5,0
0.0014,0,0
0.0014,1,100
0.0014,2,32.2109
0.0014,3,25.3523
0.0014,4,25
0.0014,5,0
0.0015,0,0
0.0015,1,100
0.0015,2,32.7193
0.0015,3,25.4096
0.0015,4,25
0.0015,5,0
0.0016,0,0
0.0016,1,100
0.0016,2,33.2196
0.0016,3,25.4705
0.0016,4,25
0.0016,5,0
0.0017,0,0
0.0017,1,100
0.0017,2,33.7122
0.0017,3,25.5352
0.0017,4,25
0.0017,5,0
0.0018,0,0
0.0018,1,100
0.0018,2,34.197
0.0018,3,25.6034
0.0018,4,25
0.0018,5,0
0.0019,0,0
0.0019,1,100
0.0019,2,34.6743
0.0019,3,25.6751
0.0019,4,25
0.0019,5,0
0.002,0,0
0.002,1,100
0.002,2,35.1443
0.002,3,25.7502
0.002,4,25
0.002,5,0
0.0021,0,0
0.0021,1,100
0.0021,2,35.6071
0.0021,3,25.8286
0.0021,4,25
0.0021,5,0
0.0022,0,0
0.0022,1,100
0.0022,2,36.0627
0.0022,3,25.9102
0.0022,4,25
0.0022,5,0
0.0023,0,0
0.0023,1,100
0.0023,2,36.5115
0.0023,3,25.9949
0.0023,4,25
0.0023,5,0
0.0024,0,0
0.0024,1,100
0.0024,2,36.9535
0.0024,3,26.0826
0.0024,4,25
0.0024,5,0
0.0025,0,0
0.0025,1,100
0.0025,2,37.3888
0.0025,3,26.1733
0.0025,4,25
0.0025,5,0
0.0026,0,0
0.0026,1,100
0.0026,2,37.8176
0.0026,3,26.2669
0.0026,4,25
0.0026,5,0
0.0027,0,0
0.0027,1,100
0.0027,2,38.24
0.0027,3,26.3633
0.0027,4,25
0.0027,5,0
0.0028,0,0
0.0028,1,100
0.0028,2,38.6562
0.0028,3,26.4624
0.0028,4,25
0.0028,5,0
0.0029,0,0
0.0029,1,100
0.0029,2,39.0663
0.0029,3,26.5641
0.0029,4,25
0.0029,5,0
0.003,0,0
0.003,1,100
0.003,2,39.4704
0.003,3,26.6684
0.003,4,25
0.003,5,0
0.0031,0,0
0.0031,1,100
0.0031,2,39.8686
0.0031,3,26.7752
0.0031,4,25
0.0031,5,0
0.0032,0,0
0.0032,1,100
0.0032,2,40.2611
0.0032,3,26.8844
0.0032,4,25
0.0032,5,0
0.0033,0,0
0.0033,1,100
0.0033,2,40.6479
0.0033,3,26.9961
0.0033,4,25
0.0033,5,0
0.0034,0,0
0.0034,1,100
0.0034,2,41.0292
0.0034,3,27.11
0.0034,4,25
0.0034,5,0
0.0035,0,0
0.0035,1,100
0.0035,2,41.4051
0.0035,3,27.2261
0.0035,4,25
0.0035,5,0
0.0036,0,0
0.0036,1,100
0.0036,2,41.7757
0.0036,3,27.3444
0.0036,4,25
0.0036,5,0
0.0037,0,0
0.0037,1,100
0.0037,2,42.1411
0.0037,3,27.4648
0.0037,4,25
0.0037,5,0
0.0038,0,0
0.0038,1,100
0.0038,2,42.5014
0.0038,3,27.5872
0.0038,4,25
0.0038,5,0
0.0039,0,0
0.0039,1,100
0.0039,2,42.8567
0.0039,3,27.7117
0.0039,4,25
0.0039,5,0
0.004,0,0
0.004,1,100
0.004,2,43.2071
0.004,3,27.838
0.004,4,25
0.004,5,0
0.0041,0,0
0.0041,1,100
0.0041,2,43.5527
0.0041,3,27.9662
0.0041,4,25
0.0041,5,0
0.0042,0,0
0.0042,1,100
0.0042,2,43.8936
0.0042,3,28.0963
0.0042,4,25
0.0042,5,0
0.0043,0,0
0.0043,1,100
0.0043,2,44.23
0.0043,3,28.2281
0.0043,4,25
0.0043,5,0
0.0044,0,0
0.0044,1,100
0.0044,2,44.5618
0.0044,3,28.3616
0.0044,4,25
0.0044,5,0
0.0045,0,0
0.0045,1,100
0.0045,2,44.8891
0.0045,3,28.4968
0.0045,4,25
0.0045,5,0
0.0046,0,0
0.0046,1,100
0.0046,2,45.2122
0.0046,3,28.6335
0.0046,4,25
0.0046,5,0
0.0047,0,0
0.0047,1,100
0.0047,2,45.531
0.0047,3,28.7718
0.0047,4,25
0.0047,5,0
0.0048,0,0
0.0048,1,100
0.0048,2,45.8456
0.0048,3,28.9117
0.0048,4,25
0.0048,5,0
0.0049,0,0
0.0049,1,100
0.0049,2,46.1562
0.0049,3,29.0529
0.0049,4,25
0.0049,5,0
0.005,0,0
0.005,1,100
0.005,2,46.4627
0.005,3,29.1956
0.005,4,25
0.005,5,0
0.0051,0,0
0.0051,1,100
0.0051,2,46.7653
0.0051,3,29.3397
0.0051,4,25
0.0051,5,0
0.0052,0,0
0.0052,1,100
0.0052,2,47.0641
0.0052,3,29.4851
0.0052,4,25
0.0052,5,0
0.0053,0,0
0.0053,1,100
0.0053,2,47.3591
0.0053,3,29.6317
0.0053,4,25
0.0053,5,0
0.0054,0,0
0.0054,1,100
0.0054,2,47.6504
0.0054,3,29.7796
0.0054,4,25
0.0054,5,0
0.0055,0,0
0.0055,1,100
0.0055,2,47.9381
0.0055,3,29.9287
0.0055,4,25
0.0055,5,0
0.0056,0,0
0.0056,1,100
0.0056,2,48.2222
0.0056,3,30.079
0.0056,4,25
0.0056,5,0
0.0057,0,0
0.0057,1,100
0.0057,2,48.5028
0.0057,3,30.2303
0.0057,4,25
0.0057,5,0
0.0058,0,0
0.0058,1,100
0.0058,2,48.78
0.0058,3,30.3828
0.0058,4,25
0.0058,5,0
0.0059,0,0
0.0059,1,100
0.0059,2,49.0539
0.0059,3,30.5363
0.0059,4,25
0.0059,5,0
0.006,0,0
0.006,1,100
0.006,2,49.3245
0.006,3,30.6908
0.006,4,25
0.006,5,0
0.0061,0,0
0.0061,1,100
0.0061,2,49.5918
0.0061,3,30.8462
0.0061,4,25
0.0061,5,0
0.0062,0,0
0.0062,1,100
0.0062,2,49.856
0.0062,3,31.0026
0.0062,4,25
0.0062,5,0
0.0063,0,0
0.0063,1,100
0.0063,2,50.1171
0.0063,3,31.1599
0.0063,4,25
0.0063,5,0
0.0064,0,0
0.0064,1,100
0.0064,2,50.3751
0.0064,3,31.3181
0.0064,4,25
0.0064,5,0
0.0065,0,0
0.0065,1,100
0.0065,2,50.6301
0.0065,3,31.4771
0.0065,4,25
0.0065,5,0
0.0066,0,0
0.0066,1,100
0.0066,2,50.8822
0.0066,3,31.6369
0.0066,4,25
0.0066,5,0
0.0067,0,0
0.0067,1,100
0.0067,2,51.1315
0.0067,3,31.7974
0.0067,4,25
0.0067,5,0
0.0068,0,0
0.0068,1,100
0.0068,2,51.3779
0.0068,3,31.9587
0.0068,4,25
0.0068,5,0
0.0069,0,0
0.0069,1,100
0.0069,2,51.6216
0.0069,3,32.1207
0.0069,4,25
0.0069,5,0
0.007,0,0
0.007,1,100
0.007,2,51.8625
0.007,3,32.2834
0.007,4,25
0.007,5,0
0.0071,0,0
0.0071,1,100
0.0071,2,52.1008
0.0071,3,32.4468
0.0071,4,25
0.0071,5,0
0.0072,0,0
0.0072,1,100
0.0072,2,52.3364
0.0072,3,32.6107
0.0072,4,25
0.0072,5,0
0.0073,0,0
0.0073,1,100
0.0073,2,52.5695
0.0073,3,32.7753
0.0073,4,25
0.0073,5,0
0.0074,0,0
0.0074,1,100
0.0074,2,52.8001
0.0074,3,32.9404
0.0074,4,25
0.0074,5,0
0.0075,0,0
0.0075,1,100
0.0075,2,53.0282
0.0075,3,33.1061
0.0075,4,25
0.0075,5,0
0.0076,0,0
0.0076,1,100
0.0076,2,53.2539
0.0076,3,33.2723
0.0076,4,25
0.0076,5,0
0.0077,0,0
0.0077,1,100
0.0077,2,53.4772
0.0077,3,33.439
0.0077,4,25
0.0077,5,0
0.0078,0,0
0.0078,1,100
0.0078,2,53.6982
0.0078,3,33.6062
0.0078,4,25
0.0078,5,0
0.0079,0,0
0.0079,1,100
0.0079,2,53.9169
0.0079,3,33.7738
0.0079,4,25
0.0079,5,0
0.008,0,0
0.008,1,100
0.008,2,54.1333
0.008,3,33.9419
0.008,4,25
0.008,5,0
0.0081,0,0
0.0081,1,100
0.0081,2,54.3475
0.0081,3,34.1103
0.0081,4,25
0.0081,5,0
0.0082,0,0
0.0082,1,100
0.0082,2,54.5596
0.0082,3,34.2791
0.0082,4,25
0.0082,5,0
0.0083,0,0
0.0083,1,100
0.0083,2,54.7695
0.0083,3,34.4483
0.0083,4,25
0.0083,5,0
0.0084,0,0
0.0084,1,100
0.0084,2,54.9774
0.0084,3,34.6179
0.0084,4,25
0.0084,5,0
0.0085,0,0
0.0085,1,100
0.0085,2,55.1831
0.0085,3,34.7877
0.0085,4,25
0.0085,5,0
0.0086,0,0
0.0086,1,100
0.0086,2,55.3869
0.0086,3,34.9579
0.0086,4,25
0.0086,5,0
0.0087,0,0
0.0087,1,100
0.0087,2,55.5887
0.0087,3,35.1283
0.0087,4,25
0.0087,5,0
0.0088,0,0
0.0088,1,100
0.0088,2,55.7885
0.0088,3,35.299
0.0088,4,25
0.0088,5,0
0.0089,0,0
0.0089,1,100
0.0089,2,55.9864
0.0089,3,35.4699
0.0089,4,25
0.0089,5,0
0.009,0,0
0.009,1,100
0.009,2,56.1825
0.009,3,35.6411
0.009,4,25
0.009,5,0
0.0091,0,0
0.0091,1,100
0.0091,2,56.3767
0.0091,3,35.8125
0.0091,4,25
0.0091,5,0
0.0092,0,0
0.0092,1,100
0.0092,2,56.5691
0.0092,3,35.984
0.0092,4,25
0.0092,5,0
0.0093,0,0
0.0093,1,100
0.0093,2,56.7597
0.0093,3,36.1557
0.0093,4,25
0.0093,5,0
0.0094,0,0
0.0094,1,100
0.0094,2,56.9486
0.0094,3,36.3276
0.0094,4,25
0.0094,5,0
0.0095,0,0
0.0095,1,100
0.0095,2,57.1357
0.0095,3,36.4997
0.0095,4,25
0.0095,5,0
0.0096,0,0
0.0096,1,100
0.0096,2,57.3212
0.0096,3,36.6718
0.0096,4,25
0.0096,5,0
0.0097,0,0
0.0097,1,100
0.0097,2,57.505
0.0097,3,36.8441
0.0097,4,25
0.0097,5,0
0.0098,0,0
0.0098,1,100
0.0098,2,57.6871
0.0098,3,37.0164
0.0098,4,25
0.0098,5,0
0.0099,0,0
0.0099,1,100
0.0099,2,57.8677
0.0099,3,37.1889
0.0099,4,25
0.0099,5,0
